critic,fresh,imdb,publication,quote,review_date,rtid,title
Peter Stack,none,0112453,San Francisco Chronicle,,2000-01-01,9562,Balto
Susan Wloszczyna,rotten,0112453,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",2000-01-01,9562,Balto
Kevin McManus,none,0112453,Washington Post,,2000-01-01,9562,Balto
Roger Ebert,fresh,0112453,Chicago Sun-Times,,2000-01-01,9562,Balto
James Berardinelli,rotten,0112453,ReelViews,,2000-01-01,9562,Balto
Susan Stark,rotten,0112453,Detroit News,,2000-01-01,9562,Balto
Rita Kempley,none,0112453,Washington Post,,2000-01-01,9562,Balto
Owen Gleiberman,fresh,0113161,Entertainment Weekly,,2011-09-07,13680,Get Shorty
David Ansen,fresh,0113161,Newsweek,"Hollywood has been in love with mobsters since the beginning of movies. But the other side of the equation has seldom been considered. That is, until now.",2008-05-07,13680,Get Shorty
Variety Staff,fresh,0113161,Variety,A drolly offbeat look at Hollywood mores dedicated to the proposition that the best preparation for becoming a film producer is a stint in the criminal underworld.,2008-05-07,13680,Get Shorty
Jonathan Rosenbaum,fresh,0113161,Chicago Reader,An entertaining comedy-thriller adapted by Scott Frank from the Elmore Leonard best-seller and directed with bounce (if not much nuance) by Barry Sonnenfeld.,2008-05-07,13680,Get Shorty
,fresh,0113161,Time Out,Everything clicks.,2006-06-24,13680,Get Shorty
Janet Maslin,fresh,0113161,New York Times,"It's part of the joke here that Chili is a die-hard cineaste and loves reminiscing about smart, stylish tough-guy films he has enjoyed. Get Shorty belongs on that list.",2003-05-20,13680,Get Shorty
Edward Guthmann,fresh,0113161,San Francisco Chronicle,"It's Travolta -- smooth, commanding, handsome as ever, a cool, rhythmic bop in his walk -- who owns the film.",2002-06-18,13680,Get Shorty
Peter Travers,fresh,0113161,Rolling Stone,The result is one of the best movies of the year and by far the most entertaining.,2001-05-12,13680,Get Shorty
Kenneth Turan,fresh,0113161,Los Angeles Times,In the category of amiable diversions it's awfully tough to improve on.,2001-02-13,13680,Get Shorty
Hal Hinson,fresh,0113161,Washington Post,Irresistibly charming.,2000-01-01,13680,Get Shorty
,fresh,0113161,USA Today,"Minor, but amusingly droll.",2000-01-01,13680,Get Shorty
Roger Ebert,fresh,0113161,Chicago Sun-Times,"One of the pleasures of Get Shorty is watching the way the plot moves effortlessly from crime to the movies - not a long distance, since both industries are based on fear, greed, creativity and intimidation.",2000-01-01,13680,Get Shorty
Desson Thomson,fresh,0113161,Washington Post,"This comic potboiler about gangsters in Hollywood would be a great piece of fun even without Travolta. But as a loan shark from Miami with a charming bedside manner and bigtime movie dreams, he raises the fun quotient into the sublime.",2000-01-01,13680,Get Shorty
James Berardinelli,fresh,0113161,ReelViews,"While it's quite possible for the cinematically unaware to enjoy this film, this is a real treat for movie buffs. The story is as much about the love of motion pictures as it is about gangsters.",2000-01-01,13680,Get Shorty
Susan Stark,fresh,0113161,Detroit News,,2000-01-01,13680,Get Shorty
,fresh,0113161,Entertainment Weekly,,1995-10-20,13680,Get Shorty
Todd McCarthy,none,0112722,Variety,,2008-09-02,14047,Copycat
,none,0112722,Time Out,,2006-02-09,14047,Copycat
Janet Maslin,none,0112722,New York Times,,2003-05-20,14047,Copycat
,none,0112722,Globe and Mail,,2002-04-12,14047,Copycat
Kenneth Turan,none,0112722,Los Angeles Times,,2001-02-13,14047,Copycat
Roger Ebert,fresh,0112722,Chicago Sun-Times,,2000-01-01,14047,Copycat
Joe Baltake,none,0112722,Sacramento Bee,,2000-01-01,14047,Copycat
James Berardinelli,fresh,0112722,ReelViews,,2000-01-01,14047,Copycat
Mike Clark,rotten,0112722,USA Today,"Copycat, despite two tough-babe leads to kill for, flies in more directions than scattered kitty litter.",2000-01-01,14047,Copycat
Peter Stack,none,0112722,San Francisco Chronicle,,2000-01-01,14047,Copycat
Susan Stark,fresh,0112722,Detroit News,,2000-01-01,14047,Copycat
Rita Kempley,none,0112722,Washington Post,,2000-01-01,14047,Copycat
,fresh,0112722,Entertainment Weekly,,1995-10-27,14047,Copycat
Michael Sragow,fresh,0112682,New Yorker,Jeunet and Caro have distinctive signatures like nobody else's.,2013-11-20,13050,La cité des enfants perdus
Jeff Shannon,fresh,0112682,Seattle Times,"On visual terms alone, The City of Lost Children is something of a masterpiece, using state-of-the-art physical, optical and digital special effects to stretch cinematic boundaries.",2013-11-20,13050,La cité des enfants perdus
Steven Rea,fresh,0112682,Philadelphia Inquirer,"Essentially, The City of Lost Children is a macabre fairy tale, and while its tentacled comic-book plot and freak-show cast narrow its appeal -- this isn't a work of any allegorical depth -- Caro and Jeunet have pulled off a cinematic delight.",2013-11-20,13050,La cité des enfants perdus
Jay Boyar,rotten,0112682,Orlando Sentinel,The City of Lost Children gets so caught up in its own weirdness that it all but shuts out the viewer.,2013-11-20,13050,La cité des enfants perdus
Jami Bernard,rotten,0112682,New York Daily News,An empty triumph of overkill set design and weirdo casting.,2013-11-20,13050,La cité des enfants perdus
Michael Wilmington,fresh,0112682,Chicago Tribune,"Set in a wondrously seedy waterfront world populated with runaway children and grotesque, sinister adults, it glistens with dense fantasies, technological feats that make the catch-phrase \""state of the art\"" seem antique.",2012-12-07,13050,La cité des enfants perdus
Jonathan Rosenbaum,rotten,0112682,Chicago Reader,The emotions seem almost as manufactured as the sets.,2012-12-07,13050,La cité des enfants perdus
Derek Elley,fresh,0112682,Variety,"With each frame filled to bursting point with visual detail and multiplaned design, plus razor-sharp cutting that often eliminates transitions, it's not a movie you can afford to take your eyes off for a second.",2009-03-26,13050,La cité des enfants perdus
Geoff Andrew,fresh,0112682,Time Out,Extraordinary.,2006-02-09,13050,La cité des enfants perdus
Stephen Holden,rotten,0112682,New York Times,Watching the film is like leafing through a giant sketchbook crammed with intriguing ideas that can't all be comfortably fitted into the same master plan.,2003-05-20,13050,La cité des enfants perdus
Kevin Thomas,fresh,0112682,Los Angeles Times,"The City of Lost Children is a stunningly surreal fantasy, a fable of longing and danger, of heroic deeds and bravery, set in a brilliantly realized world of its own. It is one of the most audacious, original films of the year.",2002-08-15,13050,La cité des enfants perdus
James Berardinelli,fresh,0112682,ReelViews,The City of Lost Children is as visually striking and daringly offbeat as its predecessor.,2000-01-01,13050,La cité des enfants perdus
Mike Clark,rotten,0112682,USA Today,"Children hasn't enough of a human dimension to be 'fun' itself, but it's still warped enough to amuse anyone with a tilted frame of mind.",2000-01-01,13050,La cité des enfants perdus
Jeff Millar,fresh,0112682,Houston Chronicle,"The City of Lost Children is a series of associated visual stimuli so imaginative and omnivorous that their spectacle has the effect of wearing us out. Nevertheless, if you think of yourself as warped, you really must see this.",2000-01-01,13050,La cité des enfants perdus
Peter Stack,fresh,0112682,San Francisco Chronicle,The French fantasy adventure The City of Lost Children is a dark phantasmagoria so visually amazing and provocative -- yet dense and confusing -- that viewers may need to see it more than once to take it all in.,2000-01-01,13050,La cité des enfants perdus
Roger Ebert,fresh,0112682,Chicago Sun-Times,"Many people will probably not find themselves sympathetic to this movie's overachieving technological pretensions, while others will find it the best film in months or years.",2000-01-01,13050,La cité des enfants perdus
,none,0115012,Variety,,2012-02-23,14872,Yao a yao yao dao waipo qiao
Lisa Schwarzbaum,fresh,0115012,Entertainment Weekly,,2011-09-07,14872,Yao a yao yao dao waipo qiao
Derek Elley,none,0115012,Variety,,2009-03-26,14872,Yao a yao yao dao waipo qiao
Derek Adams,none,0115012,Time Out,,2006-06-24,14872,Yao a yao yao dao waipo qiao
Janet Maslin,none,0115012,New York Times,,2003-05-20,14872,Yao a yao yao dao waipo qiao
Kevin Thomas,none,0115012,Los Angeles Times,,2001-02-13,14872,Yao a yao yao dao waipo qiao
James Berardinelli,fresh,0115012,ReelViews,,2000-01-01,14872,Yao a yao yao dao waipo qiao
Rita Kempley,none,0115012,Washington Post,,2000-01-01,14872,Yao a yao yao dao waipo qiao
Joe Baltake,none,0115012,Sacramento Bee,,2000-01-01,14872,Yao a yao yao dao waipo qiao
Edward Guthmann,none,0115012,San Francisco Chronicle,,2000-01-01,14872,Yao a yao yao dao waipo qiao
Desson Thomson,none,0115012,Washington Post,,2000-01-01,14872,Yao a yao yao dao waipo qiao
Roger Ebert,rotten,0115012,Chicago Sun-Times,,2000-01-01,14872,Yao a yao yao dao waipo qiao
,none,0115012,Houston Chronicle,,2000-01-01,14872,Yao a yao yao dao waipo qiao
Mike Clark,fresh,0115012,USA Today,Shanghai Triad concludes the sublime seven-movie collaboration of Chinese filmmaker Zhang Yimou and actress Gong Li with a bang worthy of the most jubilant New Year's Eve.,2000-01-01,14872,Yao a yao yao dao waipo qiao
,fresh,0115012,Entertainment Weekly,,1995-12-22,14872,Yao a yao yao dao waipo qiao
Leonard Klady,fresh,0113442,Variety,"The film's underlying sentiment is conveyed effectively, if obviously.",2009-08-03,10778,It Takes Two
,rotten,0113442,Time Out,"Alas, the Olsen girls are not immediately heart-warming.",2006-06-24,10778,It Takes Two
Stephen Holden,rotten,0113442,New York Times,"Under the direction of Andy Tennant, the Olsen sisters lay on the icky-poo cuteness with several trowels, often delivering their lines as though they were reciting the alphabet.",2003-05-20,10778,It Takes Two
Edward Guthmann,none,0113442,San Francisco Chronicle,"A harmless caper that ought to thrill girls under 12, and offer modest diversion to their parents.",2002-06-18,10778,It Takes Two
Kevin Thomas,fresh,0113442,Los Angeles Times,Writer Deborah Dean Davis and director Andy Tennant are fully aware of the absolute predictability of their material and therefore make the getting to an inevitable ending as much fun as possible.,2001-02-13,10778,It Takes Two
Susan Stark,rotten,0113442,Detroit News,,2000-01-01,10778,It Takes Two
Mike Clark,rotten,0113442,USA Today,A rote variation on Mark Twain's The Prince and the Pauper that is marginally salvaged by those spunky Olsen twins from ABC's Full House.,2000-01-01,10778,It Takes Two
Roger Ebert,rotten,0113442,Chicago Sun-Times,"It's so featherbrained and lightweight, it almost elevates its inconsequence into a style.",2000-01-01,10778,It Takes Two
Hal Hinson,rotten,0113442,Washington Post,"With their perilously wide, Walter Keane eyes, the Olsen twins are cute enough, but compared with other child performers their charms seem forced.",2000-01-01,10778,It Takes Two
,rotten,0113442,Entertainment Weekly,,1995-11-17,10778,It Takes Two
Michael Wilmington,fresh,0047478,Chicago Tribune,The greatest movie ever made about warriors and battle.,2013-03-26,16992,Shichinin no samurai
,fresh,0047478,TIME Magazine,"Again and again, Kurosawa sends a dark thrill through his audience with a touch of sensuous physical reality.",2009-04-20,16992,Shichinin no samurai
Dave Kehr,fresh,0047478,Chicago Reader,"Kurosawa's film is a model of long-form construction, ably fitting its asides and anecdotes into a powerful suspense structure that endures for all of the film's 208 minutes.",2007-03-01,16992,Shichinin no samurai
Variety Staff,fresh,0047478,Variety,"Besides the well-manned battlescenes, the pic has a good feeling for characterization and time.",2007-03-01,16992,Shichinin no samurai
,fresh,0047478,Time Out,The epic action scenes involving cavalry and samurai are still without peer.,2006-06-24,16992,Shichinin no samurai
James Berardinelli,fresh,0047478,ReelViews,Seven Samurai is an unforgettable masterpiece -- the work of one of the world's greatest filmmakers at the height of his powers.,2003-05-29,16992,Shichinin no samurai
Bosley Crowther,fresh,0047478,New York Times,"[Kurosawa] has loaded his film with unusual and exciting physical incidents and made the whole thing graphic in a hard, realistic western style.",2003-05-20,16992,Shichinin no samurai
Glenn Lovell,fresh,0047478,San Jose Mercury News,The archetypal action classic.,2002-10-24,16992,Shichinin no samurai
Desson Thomson,fresh,0047478,Washington Post,The greatest action movie ever made.,2002-09-27,16992,Shichinin no samurai
Ty Burr,fresh,0047478,Boston Globe,"Moves like hot mercury, and it draws a viewer so thoroughly into its world that real life can seem thick and dull when the lights come up.",2002-09-06,16992,Shichinin no samurai
J. Hoberman,fresh,0047478,Village Voice,"Rich in detail, vivid in characterization, leisurely in exposition, this 207-minute epic is bravura filmmaking.",2002-08-27,16992,Shichinin no samurai
Roger Ebert,fresh,0047478,Chicago Sun-Times,"Akira Kurosawa's The Seven Samurai (1954) is not only a great film in its own right, but the source of a genre that would flow through the rest of the century.",2001-08-28,16992,Shichinin no samurai
Laura Shapiro,fresh,0114148,Newsweek,"Just about everything in this lavish, animated feature is for the pigtail set.",2008-09-02,9544,Pocahontas
Richard Corliss,fresh,0114148,TIME Magazine,"[A] handsome, deeply felt, even more deeply reverent animated musical.",2008-09-02,9544,Pocahontas
Jonathan Rosenbaum,fresh,0114148,Chicago Reader,Overall this seems like a reasonable stab at an impossible agenda.,2008-09-02,9544,Pocahontas
Rita Kempley,rotten,0114148,Washington Post,All Disney has really done in its disappointing 33rd animated feature is revive the stereotype of the Noble Savage.,2008-09-02,9544,Pocahontas
Jeremy Gerard,fresh,0114148,Variety,The Disney artists have created a vivid palette for the picture.,2008-05-26,9544,Pocahontas
Owen Gleiberman,rotten,0114148,Entertainment Weekly,Why make a Disney cartoon and take all the fun out of it?,2007-02-27,9544,Pocahontas
,rotten,0114148,Time Out,"Pocahontas can't get stirred dramatically for political correctness, the finale will please nobody, and the songs are duff. That said, there are enough incidental felicities to pass the time pleasantly.",2006-06-24,9544,Pocahontas
Janet Maslin,fresh,0114148,New York Times,Any damage such revisionist history may impose on young minds is offset by the honestly inspiring thoughts Pocahontas offers.,2003-05-20,9544,Pocahontas
Peter Stack,fresh,0114148,San Francisco Chronicle,"Disney's 33rd animated feature, and its first with characters based on real people, is a stunning movie with clever twists, vivid characterizations, insightful songs and a surprising harvest of revisionist history.",2002-06-18,9544,Pocahontas
Peter Travers,fresh,0114148,Rolling Stone,"Disney deserves praise for raising the ante on its ambitions in animation. Next time, though, a little less civics lesson and a little more heart.",2001-05-12,9544,Pocahontas
Kenneth Turan,rotten,0114148,Los Angeles Times,"Adult viewers, spoiled by what has come before, may feel that this film, which relates the legendary romance between a chief's daughter and English adventurer John Smith in the New World, is more by-the-numbers than inspired.",2001-02-13,9544,Pocahontas
Desson Thomson,rotten,0114148,Washington Post,"As for the songs, they're guaranteed to keep your shoes glued to the floor",2000-01-01,9544,Pocahontas
Mike Clark,fresh,0114148,USA Today,"Imagine a cult Disney cartoon, for this may be it.",2000-01-01,9544,Pocahontas
James Berardinelli,fresh,0114148,ReelViews,"Taking advantage of the studio's breathtakingly intricate animation, directors Mike Gabriel and Eric Goldberg have breathed vitality into this, the fifth 'new wave' Disney animated picture.",2000-01-01,9544,Pocahontas
Roger Ebert,fresh,0114148,Chicago Sun-Times,"Pocahontas is the best-looking of the modern Disney animated features, and one of the more thoughtful: It is about real issues, even if it treats them with naive idealism.",2000-01-01,9544,Pocahontas
Owen Gleiberman,rotten,0113321,Entertainment Weekly,,2011-09-07,10161,Home for the Holidays
Emanuel Levy,fresh,0113321,Variety,"Foster's second directorial effort is a vividly drawn if too episodic portrait of an eccentric family, well acted by the entire cast, especially Holly Hunter and Robery Downey Jr.",2008-10-18,10161,Home for the Holidays
,rotten,0113321,Time Out,A modest film (in every sense) which pushes the gags too hard.,2006-02-09,10161,Home for the Holidays
Janet Maslin,rotten,0113321,New York Times,Spirited but uneven.,2003-05-20,10161,Home for the Holidays
Mick LaSalle,fresh,0113321,San Francisco Chronicle,"Neither caustic nor sentimental, it's a film that maybe half the people on Earth have at one time considered writing.",2002-06-18,10161,Home for the Holidays
Peter Travers,rotten,0113321,Rolling Stone,"Foster keeps the party hopping, although more dark humor would have helped before she winds it down with sentiment and bromides.",2001-05-12,10161,Home for the Holidays
Kenneth Turan,rotten,0113321,Los Angeles Times,"Foster and Richter, of course, want to do more than make audiences laugh; they want us to be touched by their characters' humanity and take an interest in a budding romance, but that rarely is the case.",2001-02-13,10161,Home for the Holidays
Susan Stark,fresh,0113321,Detroit News,,2000-01-01,10161,Home for the Holidays
Rita Kempley,rotten,0113321,Washington Post,"With many of the conversations going on simultaneously, it's difficult -- sometimes even impossible -- to know who is saying what and to whom.",2000-01-01,10161,Home for the Holidays
Susan Wloszczyna,fresh,0113321,USA Today,"With her keen actor's instincts, Foster piles on plenty for her terrific cast to chew on and for us to savor.",2000-01-01,10161,Home for the Holidays
Roger Ebert,fresh,0113321,Chicago Sun-Times,"The movie, which is about the Thanksgiving family reunion from hell, is not exactly a comedy and yet not a drama, either. Like many family reunions, it has a little of both elements, and the strong sense that madness is being held just out of sight.",2000-01-01,10161,Home for the Holidays
James Berardinelli,rotten,0113321,ReelViews,"Aside from a few effective, low-key scenes, the movie doesn't involve the viewer.",2000-01-01,10161,Home for the Holidays
,rotten,0113321,Entertainment Weekly,,1995-11-03,10161,Home for the Holidays
Derek Elley,none,0110877,Variety,,2012-02-23,10294,Il postino
Lisa Schwarzbaum,fresh,0110877,Entertainment Weekly,,2011-09-07,10294,Il postino
,fresh,0110877,Entertainment Weekly,,2011-04-04,10294,Il postino
David Rooney,none,0110877,Variety,,2008-09-02,10294,Il postino
Derek Adams,none,0110877,Time Out,,2006-06-24,10294,Il postino
Janet Maslin,none,0110877,New York Times,,2003-05-20,10294,Il postino
Peter Stack,fresh,0110877,San Francisco Chronicle,,2002-06-18,10294,Il postino
Kenneth Turan,none,0110877,Los Angeles Times,,2001-02-13,10294,Il postino
James Berardinelli,fresh,0110877,ReelViews,,2000-01-01,10294,Il postino
Joe Baltake,none,0110877,Sacramento Bee,,2000-01-01,10294,Il postino
,none,0110877,Washington Post,,2000-01-01,10294,Il postino
,fresh,0110877,USA Today,"The Postman (Il Postino) is slight, but it's tough to imagine anyone not liking it.",2000-01-01,10294,Il postino
Roger Ebert,fresh,0110877,Chicago Sun-Times,,2000-01-01,10294,Il postino
Geoff Andrew,none,0116839,Time Out,,2006-06-24,12839,Lawnmower Man 2: Beyond Cyberspace
Daniel M. Kimmel,fresh,0116839,Variety,"No one is going to see Lawnmower Man 2 for the acting, however; the film rises or falls on its special effects...",2005-04-29,12839,Lawnmower Man 2: Beyond Cyberspace
Stephen Holden,none,0116839,New York Times,,2003-05-20,12839,Lawnmower Man 2: Beyond Cyberspace
